Days_of_testing,Cum_0%
1,11.07770811
2,32.95548755
3,72.82968402
4,120.873787
8,180.4084967
9,245.4369406
10,308.4154836
11,373.0540045
14,440.2631303
15,450.3061148
16,461.8377386
17,475.1890258
18,490.8155704
21,507.9628119
22,525.886399
23,550.4962567
24,572.0808378
25,596.4746572
28,624.758443
29,624.2069271
30,625.0691592
31,626.4895465
32,629.6424847
35,638.7745613
36,650.0875643
37,661.323869
38,675.1806997
39,689.9561945
42,712.5426931
43,706.2026006
44,691.1589019
46,683.8126323
52,675.8337683
53,656.2195104
56,639.9074233
57,650.9559691
58,661.7935662
59,673.8147916
60,686.3291955
63,701.1353232
64,711.7509899
65,723.3410832
66,735.701764
67,749.6672507
70,762.4689469
71,773.3855876
72,783.7224221
73,794.2135187
74,805.5617081
77,816.8836284
78,824.038556
79,836.2693823
80,848.3684108
84,863.0527577
85,867.7804834
86,872.3590805
87,877.7660006
88,883.6319134
91,892.0300262
92,902.1698435
93,912.3448056
94,922.0691445
95,932.3655034
99,942.0779104
100,955.4290171
101,966.3796271
102,977.4506336
112,988.1890079
113,986.5373003
114,984.687881
115,983.9397766
116,982.9903642
119,976.8584526
120,970.3690754
121,964.5258861
122,958.6826969
123,952.9632457
126,949.5899752
127,954.0040886
128,959.5008019
129,966.6879361
130,973.9103617
133,983.4212514
134,993.4146694
135,1004.994974
136,1015.727321
140,1028.267915
141,1030.418675
143,1032.245525
144,1033.903942
147,1034.668369
148,1034.304356
149,1035.626395
150,1036.647376
151,1037.013882
154,1036.394433
155,1034.581202
156,1033.803819
157,1034.664778
158,1033.224933
161,1034.151115
162,1039.318594
163,1038.033954
169,1046.973385
170,1045.816345
171,1046.038866
172,1039.43111
173,1039.247857
176,1035.990507
180,1027.248534
183,1027.87683
184,1021.433017
185,1021.750378
186,1020.894883
187,1021.719804
190,1022.925351
191,1022.71986
192,1021.764327
193,1022.228149
197,1020.537062
198,1018.77723
201,1017.016319
204,1012.1704
205,1010.368537
208,1010.013625
211,1008.549829
212,1018.321881
213,1029.974079
214,1037.751521
215,1045.435879
225,1053.70607
226,1061.686064
232,1070.879844
233,1074.947317
234,1079.98735
236,1076.631647
239,1071.193444
240,1098.627571
241,1124.187266
243,1142.134099
246,1157.290378
249,1175.258345
253,1192.120697
254,1190.452618
260,1185.636214
267,1189.012432
268,1189.258603
274,1198.607334
281,1198.352525
282,1199.135944
289,1203.673008
296,1205.29326
303,1211.084764
310,1218.989927
311,1219.179678
317,1222.297021
324,1224.672204
325,1227.33166
338,1231.386551
339,1236.042831
345,1242.519565
352,1245.288161
353,1246.090809
358,1247.059255
366,1250.3445
367,1243.845587
373,1240.736054
380,1235.041332
394,1232.8863
395,1232.396961
401,1233.345812
408,1235.969367
409,1241.034686
415,1245.629236
422,1249.223382
423,1240.600754
436,1234.365329
437,1224.788196
443,1216.188397
450,1210.831619
451,1219.254735
464,1231.381577
465,1233.729254
479,1237.466765
480,1242.448421
494,1253.127911
495,1258.064246
501,1262.278393
508,1258.120248
509,1257.890345
515,1258.734936
522,1260.051926
523,1263.772329
536,1266.059706
542,1266.247917
549,1264.794635
550,1268.49446
556,1273.797103
563,1275.806978
564,1270.08804
571,1263.16222
577,1253.994848
578,1241.864371
592,1230.310106
593,1226.308108
607,1225.508126
608,1216.784669
621,1192.532324
622,1187.81881
635,1181.069086
636,1172.155277
649,1159.635427
650,1152.876286
663,1146.951318
