Day,Dose,Elution
1,10,27.51338672
2,10,71.52185799
3,10,128.0634861
4,10,186.0056436
8,10,250.8068778
9,10,318.7106453
10,10,386.7447714
11,10,456.7296616
14,10,525.5201361
15,10,568.9307912
16,10,624.2549588
17,10,686.0472319
18,10,755.8116682
21,10,849.4157128
22,10,951.8253879
23,10,1058.472736
24,10,1164.856427
25,10,1281.370897
28,10,1419.55797
29,10,1439.821856
30,10,1469.824907
31,10,1507.400583
32,10,1550.469686
35,10,1613.991394
36,10,1685.31012
37,10,1760.435577
38,10,1839.303893
39,10,1921.461712
42,10,2014.16803
43,10,2013.535747
44,10,2011.388125
46,10,2026.575514
52,10,2060.629556
53,10,2085.83055
56,10,2121.863376
57,10,2142.272176
58,10,2168.387926
59,10,2199.061899
60,10,2233.685627
63,10,2279.752783
64,10,2322.703738
65,10,2370.969361
66,10,2427.931409
67,10,2483.634279
70,10,2545.82716
71,10,2569.790633
72,10,2598.758497
73,10,2632.659901
74,10,2669.883672
77,10,2715.875243
78,10,2760.057273
79,10,2811.027915
80,10,2864.790746
84,10,2929.31545
85,10,2947.268457
86,10,2969.668265
87,10,2996.657662
88,10,3027.797241
91,10,3068.754499
92,10,3113.748535
93,10,3160.599397
94,10,3209.317579
95,10,3259.724658
99,10,3317.461977
100,10,3341.287788
101,10,3368.328301
102,10,3398.515565
112,10,3450.481625
113,10,3460.67152
114,10,3476.237032
115,10,3496.693813
116,10,3521.418655
119,10,3548.292585
120,10,3576.540438
121,10,3607.082743
122,10,3638.99897
123,10,3673.209648
126,10,3716.597055
127,10,3731.913658
128,10,3752.454677
129,10,3776.259967
130,10,3803.328636
133,10,3837.628049
134,10,3872.688825
135,10,3910.238864
136,10,3948.965108
140,10,3993.800609
141,10,4005.064914
143,10,4022.867693
144,10,4042.651437
147,10,4066.85027
148,10,4092.001843
149,10,4120.373443
150,10,4150.353945
151,10,4181.223921
154,10,4212.675572
155,10,4221.605133
156,10,4234.474924
157,10,4250.900101
158,10,4268.061715
161,10,4292.295369
162,10,4322.720158
163,10,4348.462578
169,10,4389.264804
170,10,4397.410484
171,10,4411.707468
172,10,4420.977861
173,10,4438.060992
176,10,4456.804132
180,10,4474.024947
183,10,4502.383467
184,10,4502.976386
185,10,4516.861737
186,10,4544.935791
187,10,4563.923405
190,10,4587.470176
191,10,4611.030638
192,10,4633.838542
193,10,4657.905534
197,10,4684.710768
198,10,4693.009262
201,10,4706.254761
204,10,4720.264161
205,10,4738.543223
