trial_number,mean_r2,colsample_bytree,gamma,grow_policy,learning_rate,max_bin,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state,best_r2_so_far
0,0.99955938,0.57799726,0.290418061,depthwise,0.074416324,501,10,12,1686,0.253781551,21.42302176,0.662407456,COMPLETE,0.99955938
1,0.999748951,0.762378216,2.159725093,lossguide,0.009778326,269,4,4,3380,0.280163516,0.028585494,0.721696897,COMPLETE,0.999748951
2,0.999737867,0.523225206,3.03772426,lossguide,0.01044382,439,9,11,1987,0.001820566,0.007122306,0.836965828,COMPLETE,0.999748951
3,0.999514768,0.747588455,0.171942606,depthwise,0.062395369,328,3,9,1427,0.010842263,35.20481046,0.648815294,COMPLETE,0.999748951
4,0.999395414,0.947413675,2.989499894,depthwise,0.178773336,253,4,16,2323,0.00225928,40.67908494,0.975799577,COMPLETE,0.999748951
5,0.999672888,0.771348042,0.704621125,depthwise,0.106330342,204,5,8,1738,0.001987022,10.25616275,0.712373804,COMPLETE,0.999748951
6,0.999539539,0.537022326,1.792328643,depthwise,0.067826261,152,9,15,320,2.83409043,0.003796167,0.908508139,COMPLETE,0.999748951
7,0.999567187,0.736107463,0.59797123,lossguide,0.07376373,318,5,13,1450,1.104435085,3.683188417,0.954885097,COMPLETE,0.999748951
8,0.999636484,0.818205206,1.571779905,lossguide,0.005491525,418,6,3,2234,4.26840771,0.349022525,0.612571674,COMPLETE,0.999748951
9,0.999167998,0.90406019,3.167018783,lossguide,0.014560263,335,3,4,1146,1.639412747,22.76685025,0.971879061,COMPLETE,0.999748951
10,0.999670249,0.650282412,4.79885373,lossguide,0.024424139,253,7,1,3790,0.057464878,0.048194947,0.758883631,COMPLETE,0.999748951
11,0.999258451,0.65797252,3.838129989,lossguide,0.007486535,432,8,19,3170,0.064947373,0.00116987,0.839506139,COMPLETE,0.999748951
12,0.999638841,0.855988901,2.111961057,lossguide,0.009743329,388,10,6,2933,0.305426463,0.016545529,0.831360363,COMPLETE,0.999748951
13,0.999634486,0.666476654,3.841074794,lossguide,0.019088742,508,8,10,3986,0.014372805,0.116699904,0.764297197,COMPLETE,0.999748951
14,0.999730091,0.507594045,2.615288241,lossguide,0.035074051,262,6,6,2833,0.013934238,0.009389797,0.876582922,COMPLETE,0.999748951
15,0.999766759,0.598092087,1.407071298,lossguide,0.011680351,375,8,7,3422,0.410373948,0.573844687,0.730129898,COMPLETE,0.999766759
16,0.999737965,0.611094223,1.212545989,lossguide,0.03666356,360,7,6,3451,0.314654951,0.831478671,0.702682776,COMPLETE,0.999766759
17,0.999726129,0.700422653,1.062170264,lossguide,0.014258017,286,5,1,3542,0.714988794,1.168015954,0.761628715,COMPLETE,0.999766759
18,0.999604274,0.80294233,2.084413401,lossguide,0.005870205,203,8,4,2634,0.126482692,0.071847846,0.713017272,COMPLETE,0.999766759
19,0.999694756,0.596756499,1.378351388,lossguide,0.010004061,205,4,8,3207,7.762101812,0.278738682,0.791223152,COMPLETE,0.999766759
20,0.999745272,0.998734914,2.144751097,lossguide,0.023075413,135,4,3,2660,0.033514785,0.025572066,0.661248076,COMPLETE,0.999766759
21,0.999626393,0.884972077,2.314469752,lossguide,0.023076549,140,4,3,2489,0.030635658,0.034293142,0.672231027,COMPLETE,0.999766759
22,0.999685133,0.98177027,1.790542747,lossguide,0.014971282,177,3,5,3459,0.137100534,0.15893513,0.601219509,COMPLETE,0.999766759
23,0.999371769,0.934511041,2.700472006,lossguide,0.007311802,377,6,2,3059,0.644885657,0.023885936,0.736619568,COMPLETE,0.999766759
24,0.99972907,0.838292752,3.560439944,lossguide,0.047164827,287,4,7,2701,0.027885033,1.115494289,0.638126594,COMPLETE,0.999766759
25,0.999743225,0.704504643,0.93640095,lossguide,0.019452124,225,5,5,3709,0.005631096,0.002233722,0.69049966,COMPLETE,0.999766759
26,0.999751913,0.56794667,1.891440255,depthwise,0.012056854,130,7,3,3170,0.192967838,0.375524888,0.795002757,COMPLETE,0.999766759
27,0.999749623,0.562182095,1.659503217,depthwise,0.011764838,408,7,8,3229,0.552125143,3.63034951,0.803164651,COMPLETE,0.999766759
28,0.999747707,0.555110543,1.503016742,depthwise,0.012838503,465,7,9,3970,0.62055283,3.690365303,0.795554012,COMPLETE,0.999766759
29,0.999665817,0.585294168,0.470992091,depthwise,0.007082259,472,9,13,3223,0.191202903,3.727707384,0.875894824,COMPLETE,0.999766759
30,0.999719047,0.627786062,1.773606491,depthwise,0.012019669,401,8,11,3687,0.445906548,10.08236578,0.80092253,COMPLETE,0.999766759
31,0.999710582,0.558509036,2.414337217,depthwise,0.007743361,357,7,7,3324,1.720573642,0.298556914,0.73744356,COMPLETE,0.999766759
32,0.999772353,0.500033608,0.907254968,depthwise,0.009442436,460,6,5,2943,0.22999712,0.849108791,0.816388297,COMPLETE,0.999772353
33,0.999766049,0.510768057,0.841246897,depthwise,0.009190678,463,6,5,2965,0.080536558,1.72471566,0.80768231,COMPLETE,0.999772353
34,0.999777464,0.506258109,0.048399161,depthwise,0.005037887,477,6,5,2944,0.075943322,0.621807841,0.859678296,COMPLETE,0.999777464
35,0.999769733,0.502782871,0.249058845,depthwise,0.005457073,476,6,5,2923,0.075623304,0.647482595,0.857619577,COMPLETE,0.999777464
36,0.999727849,0.525475096,0.060448991,depthwise,0.005321288,487,6,9,2085,0.052679958,0.633041075,0.880111927,COMPLETE,0.999777464
37,0.999731297,0.535040454,0.369594567,depthwise,0.006370057,451,5,7,2364,0.098721831,1.687065849,0.841624858,COMPLETE,0.999777464
38,0.994093665,0.501761897,0.027150679,depthwise,0.005128687,492,6,5,1771,0.006928748,91.35024444,0.924291457,COMPLETE,0.999777464
39,0.999729682,0.543299178,0.319986698,depthwise,0.008400731,435,9,10,2462,0.211830713,0.15812514,0.898903069,COMPLETE,0.999777464
40,0.960564107,0.620951341,0.638100271,depthwise,0.005022622,510,5,4,338,0.040119231,0.634492269,0.930127365,COMPLETE,0.999777464
41,0.99974755,0.501917654,0.891296014,depthwise,0.008414685,459,6,5,2896,0.1003133,1.879370441,0.859006325,COMPLETE,0.999777464
42,0.999770238,0.525370643,0.756101032,depthwise,0.009358263,480,6,2,2990,0.07749194,1.971653866,0.820270603,COMPLETE,0.999777464
43,0.99969704,0.586602797,1.170324731,depthwise,0.006388827,485,6,2,2781,0.156640105,7.680304605,0.825823049,COMPLETE,0.999777464
44,0.999739681,0.5289748,0.260317811,depthwise,0.120043132,420,10,2,3062,0.021565703,0.607340082,0.859715904,COMPLETE,0.999777464
45,0.999322943,0.54292785,0.577194051,depthwise,0.006519875,445,7,20,3581,0.380221421,5.888613958,0.776155375,COMPLETE,0.999777464
46,0.999758124,0.523573995,0.674406372,depthwise,0.017738958,484,8,1,1905,1.07977138,0.437485845,0.998290707,COMPLETE,0.999777464
47,0.999730992,0.57580138,1.342497172,depthwise,0.01064428,426,5,6,2537,0.05152576,2.356756101,0.82797898,COMPLETE,0.999777464
48,0.999611864,0.63809547,0.185976477,depthwise,0.00875086,476,6,4,2160,0.275580162,19.61601304,0.859675949,COMPLETE,0.999777464
49,0.999473455,0.611261284,0.798413933,depthwise,0.006054585,388,5,17,3023,0.082309091,0.104182647,0.817048487,COMPLETE,0.999777464
50,0.999699301,0.678819612,1.069800178,depthwise,0.01657677,499,7,8,3371,0.020926209,0.226447797,0.742728461,COMPLETE,0.999777464
51,0.999759736,0.500027752,0.472879076,depthwise,0.009390298,456,6,6,2898,0.073588093,1.373079147,0.848059656,COMPLETE,0.999777464
52,0.999801189,0.518921749,0.850915363,depthwise,0.010116853,441,6,4,2984,0.111032634,2.369903238,0.814633557,COMPLETE,0.999801189
53,0.999763026,0.523593423,0.022181605,depthwise,0.007366197,443,6,2,2773,0.134808657,0.919704581,0.900952503,COMPLETE,0.999801189
54,0.999769967,0.549885399,1.302262468,depthwise,0.011032884,315,7,4,2327,0.042037291,2.836093587,0.778916155,COMPLETE,0.999801189
55,0.999761548,0.547888049,0.430720994,depthwise,0.010078469,283,7,4,2604,0.061959487,2.532277692,0.771741341,COMPLETE,0.999801189
56,0.999670398,0.520501254,0.990944779,depthwise,0.014303523,316,5,3,2221,0.009784095,18.36078728,0.777122426,COMPLETE,0.999801189
57,0.999762219,0.572618087,4.731410109,depthwise,0.026804825,313,6,1,2355,0.047314952,2.58101455,0.812866638,COMPLETE,0.999801189
58,0.999623345,0.770478965,1.231956826,depthwise,0.006025537,333,7,4,1053,0.018502018,0.937610456,0.754625705,COMPLETE,0.999801189
59,0.999698934,0.546006001,0.568890314,depthwise,0.055947261,346,6,3,3093,0.035205315,5.806470983,0.844291164,COMPLETE,0.999801189
