trial_number,mean_r2,params_colsample_bytree,params_gamma,params_grow_policy,params_learning_rate,params_max_bin,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state,best_r2_so_far
0,0.9452866868054354,0.5779972601681014,0.2904180608409973,depthwise,0.07441632389160634,501,10,12,1686,0.2537815508265665,21.42302175774105,0.6624074561769746,COMPLETE,0.9452866868054354
1,0.9471650001874139,0.762378215816119,2.1597250932105787,lossguide,0.009778325945801386,269,4,4,3380,0.2801635158716261,0.028585493941961918,0.7216968971838151,COMPLETE,0.9471650001874139
2,0.9358222466890804,0.5232252063599989,3.0377242595071916,lossguide,0.010443820094525779,439,9,11,1987,0.0018205657658407262,0.007122305833333868,0.836965827544817,COMPLETE,0.9471650001874139
3,0.9101127704303881,0.7475884550556351,0.17194260557609198,depthwise,0.062395369491878315,328,3,9,1427,0.010842262717330166,35.20481045526041,0.6488152939379115,COMPLETE,0.9471650001874139
4,0.9274913971593776,0.9474136752138245,2.9894998940554256,depthwise,0.17877333612826407,253,4,16,2323,0.002259279742015696,40.679084943595456,0.9757995766256756,COMPLETE,0.9471650001874139
5,0.9323904665805021,0.7713480415791243,0.7046211248738132,depthwise,0.10633034207853799,204,5,8,1738,0.0019870215385428634,10.25616274847308,0.7123738038749523,COMPLETE,0.9471650001874139
6,0.8668580474745664,0.5370223258670452,1.7923286427213632,depthwise,0.0678262606477337,152,9,15,320,2.8340904295147746,0.0037961668958008117,0.9085081386743783,COMPLETE,0.9471650001874139
7,0.9438785305585249,0.7361074625809747,0.5979712296915085,lossguide,0.07376373043637946,318,5,13,1450,1.1044350847124695,3.6831884165358977,0.9548850970305306,COMPLETE,0.9471650001874139
8,0.9235587358244877,0.8182052056318903,1.5717799053816335,lossguide,0.005491525066424382,418,6,3,2234,4.268407710065496,0.34902252478382495,0.6125716742746937,COMPLETE,0.9471650001874139
9,0.8704172147061919,0.9040601897822085,3.1670187825521174,lossguide,0.014560262826662182,335,3,4,1146,1.6394127471631603,22.766850248686247,0.9718790609370292,COMPLETE,0.9471650001874139
10,0.9261962183945723,0.650282411524673,4.798853729727099,lossguide,0.02442413946885319,253,7,1,3790,0.05746487750725152,0.0481949466317606,0.7588836305457849,COMPLETE,0.9471650001874139
11,0.93168042872905,0.6333422853758214,4.120725931692965,depthwise,0.03219562222100288,512,10,20,3170,0.16147487621964757,0.4435407280008191,0.6960266332554614,COMPLETE,0.9471650001874139
12,0.933294335120394,0.6607750338887588,1.7610733621543182,lossguide,0.005580528968080656,404,7,5,2802,0.28168922452785733,0.041071572285135326,0.8068005390606677,COMPLETE,0.9471650001874139
13,0.9455963383642159,0.8419483043436284,1.2047801022418332,depthwise,0.03498366998668744,504,8,7,3832,0.05408622577847934,1.9296193748838897,0.6894171083874706,COMPLETE,0.9471650001874139
14,0.9466573183974726,0.8585292087432226,1.1672315228813095,depthwise,0.036175884208898106,275,8,7,3769,0.026955466330382177,1.582342538829141,0.7495910822966338,COMPLETE,0.9471650001874139
15,0.9398753075150615,0.9924371657340662,2.324898870478324,lossguide,0.01589207130346348,271,6,6,3307,0.012701877952916336,0.04925124659156241,0.756276896358433,COMPLETE,0.9471650001874139
16,0.8859567506718878,0.8650399212389194,2.3916858092294415,lossguide,0.009883164225231196,187,8,2,3366,0.02175211129424356,0.012494603905429273,0.8555315558744648,COMPLETE,0.9471650001874139
17,0.9441594702668613,0.7872523292053017,1.0621702643998578,depthwise,0.022584930413676752,286,5,8,2728,0.5879277782416796,0.0016443878064033729,0.7459192894795348,COMPLETE,0.9471650001874139
18,0.9388671083890794,0.7102774785041901,3.63303158944099,depthwise,0.04315366244320071,219,8,5,3997,0.02949532853536509,1.2975234901367172,0.8045033415932444,COMPLETE,0.9471650001874139
19,0.9147056220607184,0.8990645945206158,2.132647457013603,lossguide,0.008505635721145809,367,4,10,2916,0.005623140912523929,0.10500268661176003,0.6006674267385764,COMPLETE,0.9471650001874139
20,0.901359286575959,0.6981532647412947,1.308793526029738,depthwise,0.018790232093883513,135,4,1,3585,8.532450484661128,0.145585279917304,0.8802489778678998,COMPLETE,0.9471650001874139
21,0.945352723169302,0.8247803553920025,1.0719723103799383,depthwise,0.02838209166429993,375,8,7,3692,0.07128567195465636,1.540016217471023,0.7008603942778973,COMPLETE,0.9471650001874139
22,0.9445332694592299,0.849080470221511,1.9613228286710718,depthwise,0.038548142478203144,462,9,7,3923,0.04509708902469629,4.756449806851714,0.7319166943727738,COMPLETE,0.9471650001874139
23,0.9431561645702367,0.8881690184856111,1.3593113498377125,depthwise,0.04361228766440542,294,7,4,3446,0.09814464742077683,0.9874339343127437,0.6530787434314014,COMPLETE,0.9471650001874139
24,0.9404733325768136,0.7999745693672576,2.7151724562718864,depthwise,0.012873939019918101,232,8,6,3086,0.48845748329968136,3.524440832408637,0.7801835944852071,COMPLETE,0.9471650001874139
25,0.8961565608836889,0.9608542282271717,0.936400950259173,depthwise,0.11034896034816491,172,6,9,2517,0.005631096205851205,0.6632351486508724,0.6797730295391741,COMPLETE,0.9471650001874139
26,0.9370547819027106,0.8476919097382807,0.5421457810359258,lossguide,0.05023611234787185,357,9,3,3613,0.14896169252511782,82.849744432048,0.7181167130037466,COMPLETE,0.9471650001874139
27,0.9411353617252718,0.9150430524289442,1.4588994651050715,depthwise,0.0334853609045333,299,7,6,3063,0.021789476560916805,0.15634128519277454,0.7780803028115655,COMPLETE,0.9471650001874139
28,0.9333435090050595,0.7703347328258917,2.1163582174908644,lossguide,0.02106334321836314,258,8,4,3988,0.5336677769164336,0.023822212249203906,0.8246124106116964,COMPLETE,0.9471650001874139
29,0.9497945789310742,0.5993636108361036,0.051369223498354266,depthwise,0.05289404242350342,482,6,12,3510,0.21995910370458568,10.649289976175341,0.6693738377019847,COMPLETE,0.9497945789310742
30,0.9495589339956132,0.5781893587131685,0.22235041453202034,depthwise,0.09226516881681393,474,5,13,2579,0.32140017729050746,9.579609990614575,0.6270543055356594,COMPLETE,0.9497945789310742
31,0.949929282243765,0.6108459179998456,0.10830446300117913,depthwise,0.10753882885596688,447,5,13,2628,0.3174756193568396,11.424363256528993,0.6290021204578912,COMPLETE,0.949929282243765
32,0.9480744206019411,0.5948582425314263,0.20325404269094036,depthwise,0.10401553599875792,475,5,13,2541,0.2706387755422439,19.9384299748694,0.6424696451753938,COMPLETE,0.949929282243765
33,0.9502149852748516,0.5905412179181208,0.09682504803885802,depthwise,0.10876837318671448,475,5,14,2535,0.2992510566183697,9.830877561373423,0.6323310518768285,COMPLETE,0.9502149852748516
34,0.9452696694626846,0.5635157032338391,0.006726728644786621,depthwise,0.14641386109464466,477,5,16,2012,1.162686851774822,8.776526633158786,0.6323526284860242,COMPLETE,0.9502149852748516
35,0.9540124400200207,0.5029795392774157,0.38468527513563283,depthwise,0.09289212577419577,427,6,12,2381,0.16160365060660206,10.26572039377455,0.669505624963447,COMPLETE,0.9540124400200207
36,0.933719506316846,0.5207526546959345,0.47619915062972984,depthwise,0.1418498653136439,443,6,15,1824,0.13914325500202532,79.374949694032,0.6715042728922036,COMPLETE,0.9540124400200207
37,0.9432682252329684,0.6103316205782453,0.7307277793959416,depthwise,0.05294502828202543,412,6,11,2431,0.8543533871755047,17.748447346217443,0.6173400023662369,COMPLETE,0.9540124400200207
38,0.9299318976613808,0.5062275134423762,0.009855119759897696,depthwise,0.08311830504957016,445,4,18,2162,0.18942286423604848,33.32527114360776,0.6592290762408061,COMPLETE,0.9540124400200207
39,0.9503302576493313,0.5500157638013031,0.33246156526587867,depthwise,0.19112804985722867,490,4,12,1504,0.08905741725634067,8.429606059531876,0.6698506138500783,COMPLETE,0.9540124400200207
