Day,Dose,Elution_Cumulative,ReleaseRate
1,1,12.40869303,23.31686061
2,1,35.72555364,33.44214535
3,1,79.29298373,46.20109413
4,1,128.1277419,42.04533309
8,1,187.6782729,54.61163359
9,1,252.2209067,64.56890805
10,1,316.816089,65.64387145
11,1,383.5086496,55.33352918
14,1,447.2779544,14.03447873
15,1,458.9051144,12.9470321
16,1,473.1720186,15.728183
17,1,490.3614804,18.79373265
18,1,510.7594839,17.48673167
21,1,537.0182324,23.15506059
22,1,564.9740078,32.2876489
23,1,601.5935302,35.7167277
24,1,636.4074632,36.86303015
25,1,675.3195905,33.12618054
28,1,722.6246113,3.971147567
29,1,722.6633613,2.086524
30,1,726.7976593,5.136085
31,1,732.9355313,6.9116299
32,1,740.6209191,7.182724092
35,1,757.645118,17.06963059
36,1,778.5130478,21.7433272
37,1,801.1317724,23.21734195
38,1,824.9477317,24.64383715
39,1,850.4194467,21.82382613
42,1,883.0599253,-3.492604917
43,1,874.7763989,-12.18256435
44,1,858.6947966,-11.87147103
46,1,851.7923796,-2.793609254
52,1,846.8675105,-14.30644347
53,1,830.3134617,-13.25169898
56,1,820.2795132,7.8801745
57,1,831.9012957,12.0751115
58,1,844.4297362,13.0871915
59,1,858.0756787,14.5647776
60,1,873.5592914,13.24975034
63,1,893.2037812,13.45462574
64,1,908.9605611,16.89093805
65,1,926.9856573,18.76502255
66,1,946.4906062,20.38705125
67,1,967.7597598,17.82401952
70,1,990.2256117,11.16553655
71,1,1002.616788,12.45876315
72,1,1015.143138,13.204961
73,1,1029.02671,14.1904025
74,1,1043.523943,12.28384758
77,1,1060.455017,11.37016083
78,1,1073.734001,15.970421
79,1,1092.395859,19.020229
80,1,1111.774459,16.67747325
84,1,1135.266324,5.86334365
85,1,1141.127262,6.265083
86,1,1147.79649,7.304494
87,1,1155.73625,8.7813475
88,1,1165.359185,8.277166917
91,1,1178.078773,13.26224442
92,1,1194.348478,16.51633
93,1,1211.111433,16.8653715
94,1,1228.079221,17.111804
95,1,1245.335041,14.75772205
99,1,1264.396362,11.75199005
100,1,1277.895017,12.6362995
101,1,1289.668961,12.1518345
102,1,1302.198686,11.54848236
112,1,1319.559246,-0.104620364
113,1,1319.270558,-0.137446
114,1,1319.284354,0.4931815
115,1,1320.256921,1.739662
116,1,1322.763678,1.702378083
119,1,1320.631402,-1.423825167
120,1,1318.969888,-1.2253665
121,1,1318.180669,-0.498454
122,1,1317.97298,0.089999
123,1,1318.360667,0.690293917
126,1,1323.155011,4.452825667
127,1,1328.559407,6.203788
128,1,1335.562587,7.836706
129,1,1344.232819,9.1819855
130,1,1353.926558,8.322113417
133,1,1366.548268,10.24954442
134,1,1378.811915,12.867878
135,1,1392.284024,13.5167185
136,1,1405.845352,11.6503447
140,1,1421.870998,3.0977391
141,1,1424.741569,2.446509167
143,1,1427.93834,2.759661833
144,1,1431.27864,2.8194655
147,1,1435.049526,2.2388275
148,1,1437.615642,3.728338
149,1,1442.506202,4.633509
150,1,1446.88266,4.4555505
151,1,1451.417303,3.80027875
154,1,1456.208861,-0.4578995
155,1,1455.065933,-0.3365995
156,1,1455.535662,1.2858335
157,1,1457.6376,0.9718765
158,1,1457.479415,0.208694333
161,1,1461.407412,6.993943583
162,1,1470.296226,6.0658055
163,1,1473.539023,3.121105214
169,1,1487.88475,2.058542929
170,1,1489.887891,3.1832085
171,1,1494.251167,1.007314
172,1,1491.902519,1.369822
173,1,1496.990811,4.116040083
176,1,1500.588664,0.492656369
180,1,1498.790607,1.27872475
183,1,1506.515319,-4.1191055
184,1,1500.164877,-2.542956
185,1,1501.429407,0.5210975
186,1,1501.207072,0.761127
187,1,1502.951661,1.61426025
190,1,1506.621483,2.4683925
191,1,1509.504915,2.555227
