Dose,Day,ReleaseRate
5,1,31.01287262
5,2,35.72006754
5,3,40.42425487
5,4,34.61305257
5,8,42.92428458
5,9,50.11640805
5,10,50.29760485
5,11,42.60984715
5,14,29.8850644
5,15,37.6053189
5,16,43.1764502
5,17,48.67801015
5,18,44.52308686
5,21,59.03129431
5,22,76.4037295
5,23,81.1435262
5,24,85.6225472
5,25,76.3949727
5,28,17.86242375
5,29,16.4467385
5,30,22.754386
5,31,27.223231
5,32,25.985205
5,35,42.79138575
5,36,53.3572405
5,37,56.0963055
5,38,59.12967
5,39,51.64083133
5,42,2.992244833
5,43,-6.4402305
5,44,-5.143530167
5,46,2.501218042
5,52,5.732895381
5,53,5.900653917
5,56,13.79731767
5,57,18.497005
5,58,22.409511
5,59,26.3073555
5,60,23.95749975
5,63,26.65814925
5,64,33.586747
5,65,36.747006
5,66,40.0564185
5,67,35.36156567
5,70,18.32044892
5,71,21.341272
5,72,24.9136015
5,73,27.622511
5,74,24.417533
5,77,27.5428055
5,78,35.737764
5,79,39.894127
5,80,35.4185519
5,84,12.3350503
5,85,14.019965
5,86,17.7690615
5,87,21.638334
5,88,20.0912805
5,91,27.057576
5,92,33.5499475
5,93,34.81698
5,94,36.1202225
5,95,31.58184255
5,99,17.16539855
5,100,19.8440125
5,101,21.967026
5,102,21.38535169
5,112,4.937303509
5,113,6.892943
5,114,10.911038
5,115,14.784198
5,116,13.76974883
5,119,14.41019858
5,120,18.1932785
5,121,19.676614
5,122,21.1599485
5,123,18.95349467
5,126,9.614651417
5,127,12.0595185
5,128,16.042178
5,129,19.012171
5,130,17.51691317
5,133,22.34677742
5,134,28.090378
5,135,29.5255665
5,136,25.59269345
5,140,7.41280385
5,141,6.620847667
5,143,10.60852633
5,144,11.11673858
5,147,12.95060183
5,148,16.9394915
5,149,18.7660565
5,150,19.311238
5,151,16.45461242
5,154,4.022960417
5,155,4.827531
5,156,9.0235365
5,157,10.4245085
5,158,8.513590917
5,161,17.73271242
5,162,19.2172935
5,163,14.93922286
5,169,3.289897143
5,170,5.5860855
5,171,5.587523
5,172,6.986602
5,173,9.247456833
5,176,3.295535583
5,180,4.628839393
5,183,-1.24149225
5,184,1.731035
5,185,7.6234785
5,186,9.8389045
5,187,10.02461917
5,190,12.51961942
5,191,14.6925355
5,192,14.726908
5,193,12.9085672
5,197,3.215732
5,198,2.777491083
5,201,2.260484667
5,204,8.31470125
5,205,8.904938833
5,208,4.577873833
5,211,11.25510233
5,212,15.2869105
5,213,16.7309175
5,214,16.529078
5,215,15.34554931
5,225,7.399552036
5,226,7.173937452
5,232,10.16199831
5,233,12.5418375
5,234,10.27477483
5,236,3.145219367
5,239,22.50951292
5,240,29.7939375
5,241,24.0544645
5,243,9.666919167
5,246,7.964978167
5,249,7.976974774
5,253,1.88882005
5,254,0.532209119
5,260,0.899743932
5,267,2.460870589
5,268,2.601760286
5,274,2.407328901
5,281,4.931668536
5,282,4.978550482
5,289,2.195656071
5,296,2.227636357
5,303,2.789043143
5,310,4.427930732
5,311,4.29134231
5,317,2.571015386
5,324,2.298484518
5,325,2.18791356
5,338,8.809913918
5,339,8.470974595
5,345,2.905898507
5,352,5.161562946
5,353,5.0136929
5,358,2.557417006
5,366,-0.617420403
5,367,-0.598414381
5,373,1.884567861
5,380,1.5350125
5,394,6.046873014
5,395,5.796912881
5,401,2.368601694
5,408,9.566644143
5,409,9.479806881
5,415,3.041865299
5,422,-2.174836964
5,423,-2.650279511
5,436,-1.46971794
5,437,-1.278473738
5,443,1.205315009
5,450,9.562215589
5,451,10.09162948
5,464,6.094947555
5,465,6.079092229
5,479,11.36229556
5,480,11.40189108
5,494,12.02831081
5,495,11.3092354
5,501,2.409418064
5,508,2.702634625
5,509,2.627527595
5,515,1.778317068
5,522,6.832648036
5,523,7.061022302
5,536,1.382665871
5,542,1.522497474
5,549,8.3757685
5,550,8.372473024
5,556,2.195570936
5,563,2.329074375
5,564,2.195573018
5,571,0.862985848
5,577,-3.07207169
5,578,-3.461293267
5,592,5.203007133
5,593,5.2541707
5,607,-0.010891433
5,608,-0.14478311
5,621,6.395894819
5,622,6.513722984
5,635,-0.675096874
5,636,-0.706854429
5,649,1.851615214
5,650,1.873483654
5,663,0.657537154
